director_ids,director_name,average_rating_value,average_rating_count,movies_produced,career_Length,CareerStartYear,Gender,birthYear,median_inter_event_time,average_inter_event_time,total_review_count_user,total_review_count_critic,total_metascore,median_metascore,total_awards_won,total_awards_nominated,total_gross_value,total_budget_value,average_runtime_of_movie,director_profession_primary,director_profession_secondary,director_profession_tertiary,director_known_titles_count,director_known_titles_average_rating_value,total_genre_Action,total_genre_Adult,total_genre_Adventure,total_genre_Animation,total_genre_Biography,total_genre_Comedy,total_genre_Crime,total_genre_Documentary,total_genre_Drama,total_genre_Family,total_genre_Fantasy,total_genre_Film_Noir,total_genre_Game_Show,total_genre_History,total_genre_Horror,total_genre_Music,total_genre_Musical,total_genre_Mystery,total_genre_News,total_genre_None,total_genre_Reality_TV,total_genre_Romance,total_genre_Sci_Fi,total_genre_Short,total_genre_Sport,total_genre_Talk_Show,total_genre_Thriller,total_genre_War,total_genre_Western,average_movie_per_year,num_genres_directed
nm0893659,Gore Verbinski,6.78,246149.5,6,18,1996,Male,1964,2.0,3.2,5220,1342,315,55.5,0.0,0.0,1029849753.4838312,737905865.6291199,121.83,1,0,0,3,7.23,2,0,3,0,0,3,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.33,11
nm0898288,Denis Villeneuve,8.03,223791.33,3,23,1994,Male,1967,1.5,1.5,1466,1310,237,81.0,0.0,0.0,169637643.57280985,132693665.56134255,130.0,1,0,0,3,8.07,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,3,0,0,0.13,6
nm0899854,Tony Vitale,6.1,1819.0,1,1,1997,Male,1964,0.0,0.0,24,23,46,46.0,0.0,0.0,3446043.4838288887,1394789.96590977,86.0,0,1,0,8,5.82,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1
nm0902278,Tatiana von Furstenberg,5.9,2352.0,1,1,2009,Female,1971,0.0,0.0,14,20,40,40.0,0.0,0.0,6449.334754343961,3865735.117488888,96.0,0,0,1,6,6.73,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1
nm0903717,Kurt Voss,6.1,403.0,2,12,1990,Male,1963,2.0,2.0,26,41,111,55.5,0.0,0.0,412473.92398927273,2434793.014124496,90.0,0,1,0,4,6.22,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,2
nm0905152,Lilly Wachowski,7.18,467662.75,4,20,1996,Female,1967,4.0,6.33,7393,1092,236,61.5,0.0,0.0,799750706.3375884,541492448.7922126,127.25,0,0,1,8,7.7,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0.2,6
nm0905154,Lana Wachowski,7.24,432314.6,5,20,1996,Male,1965,3.5,4.75,8226,1605,291,61.0,0.0,0.0,831502320.4315394,661006631.3649894,136.2,0,0,1,8,7.7,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0.25,7
nm0905592,Jeff Wadlow,6.37,104539.67,3,12,2002,Male,1976,4.0,4.0,788,626,119,39.0,0.0,0.0,80376848.94280875,59848507.435561106,101.0,0,1,0,3,6.9,2,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0.25,8
nm0906476,David Wain,6.2,84668.0,3,17,1992,Male,1969,3.5,3.5,570,306,153,50.0,0.0,0.0,91006253.03056948,52751866.86461015,97.33,0,0,0,6,7.17,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.18,2
nm0906548,Rupert Wainwright,4.9,42624.5,2,17,1989,Male,1961,6.0,6.0,848,270,55,27.5,0.0,0.0,131695213.50628287,77632812.51971185,101.5,1,0,0,3,4.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,1
nm0908326,Jordan Walker-Pearlman,3.4,461.0,1,6,2000,Male,1967,0.0,0.0,15,7,41,41.0,0.0,0.0,448377.17091524415,10531706.637098642,96.0,1,0,0,3,5.23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,1
